Region,Community,Population,Lat,Lon
Alaska,Seldovia Village,174,59.4780556,-151.6519444
Alaska,Seward,2710,60.1041667,-149.4422222
Alaska,Shageluk,43,62.6822222,-159.5619444
Alaska,Shaktoolik,223,64.3338889,-161.1538889
Alaska,Shishmaref,573,66.2566667,-166.0719444
Alaska,Shungnak,342,66.8880556,-157.1363889
Alaska,Sitka,8943,57.0530556,-135.33
Alaska,Skagway,957,59.4583333,-135.3138889
Alaska,Skwentna,42,61.9902778,-151.3977778
Alaska,Slana,84,62.7069444,-143.9611111
Alaska,Sleetmute,96,61.7025,-157.1697222
Alaska,Soldotna,4409,60.4877778,-151.0583333
Alaska,South Naknek,63,58.7155556,-156.9980556
Alaska,Stebbins,547,63.5222222,-162.2880556
Alaska,Sterling,6054,60.5372222,-150.7647222
Alaska,Stevens Village,25,66.0063889,-149.0908333
Alaska,Saint George,53,56.6,-169.5416667
Alaska,Saint Marys,583,62.0530556,-163.1658333
Alaska,Saint Michael,396,63.4780556,-162.0391667
Alaska,Stony River,40,61.7830556,-156.5880556
Alaska,Saint Paul,576,57.1222222,-170.275
Alaska,Sunrise,15,60.8897222,-149.4211111
Alaska,Takotna,49,62.9886111,-156.0641667
Alaska,Talkeetna,616,62.3238889,-150.1094444
Alaska,Tanacross,127,63.3852778,-143.3463889
Alaska,Tanaina,9640,61.6269444,-149.4280556
Alaska,Tanana,277,65.1719444,-152.0788889
Alaska,Tatitlek,86,60.8647222,-146.6786111
Alaska,Tazlina,358,62.0588695,-145.4284212
Alaska,Teller,165,65.2636111,-166.3608333
Alaska,Tenakee Springs,150,57.7808333,-135.2188889
Alaska,Tetlin,121,63.1350512,-142.5238796
Alaska,Thorne Bay,566,55.6877778,-132.5222222
Alaska,Togiak,787,59.0619444,-160.3763889
Alaska,Tok,1331,63.3366667,-142.9855556
Alaska,Toksook Bay,549,60.5337752,-165.1036627
Alaska,Tonsina,30,61.6558333,-145.1752778
Alaska,Trapper Creek,432,62.3166667,-150.2313889
Alaska,Tuluksak,436,61.1025,-160.9616667
Alaska,Tuntutuliak,466,60.3430556,-162.6630556
Alaska,Tununak,294,60.5855556,-165.2558333
Alaska,Twin Hills,95,59.0791667,-160.275
Alaska,Two Rivers,238,64.8722222,-147.0383333
Alaska,Tyonek,214,61.0680556,-151.1369444
Alaska,Ugashik,19,57.5130556,-157.3975
Alaska,Unalakleet,710,63.8730556,-160.7880556
Alaska,Unalaska,4619,53.8736111,-166.5366667
Alaska,Valdez,3979,61.1308333,-146.3483333
Alaska,Venetie,177,67.0138889,-146.4186111
Alaska,Wainwright,458,70.6369444,-160.0383333
Alaska,Wales,155,65.6091667,-168.0875
Alaska,Wasilla,8676,61.5813889,-149.4394444
Alaska,Whale Pass,16,56.1152778,-133.1208333
Alaska,White Mountain,179,64.6813889,-163.4055556
Alaska,Whittier,295,60.7730556,-148.6838889
Alaska,Willow,2085,61.7472222,-150.0375
Alaska,Willow Creek,8,61.8197222,-145.2122222
Alaska,Wiseman,11,67.41,-150.1075
Alaska,Womens Bay,852,57.6822222,-152.6686111
Alaska,Wrangell,2387,56.4708333,-132.3766667
Alaska,Yakutat,597,59.5469444,-139.7272222
British Columbia,Vancouver,662248,49.2448,-123.115
British Columbia,Surrey,568322,49.1745,-122.828
British Columbia,Burnaby,249125,49.2521,-122.962
British Columbia,Richmond,209937,49.1539,-123.158
British Columbia,Abbotsford,153524,49.0477,-122.27
British Columbia,Coquitlam,148625,49.2539,-122.849
British Columbia,Kelowna,144576,49.8833,-119.483
British Columbia,Langley,132603,49.1038,-122.659
British Columbia,Saanich,117735,48.4878,-123.388
British Columbia,Nanaimo,99863,49.1659,-123.939
British Columbia,Kamloops,97902,50.6783,-120.348
British Columbia,Chilliwack,93203,49.175,-121.942
British Columbia,Victoria,91867,48.4334,-123.362
British Columbia,Maple Ridge,90990,49.2174,-122.598
British Columbia,North Vancouver,88168,49.3142,-123.067
British Columbia,New Westminster,78916,49.2167,-122.917
British Columbia,Prince George,76708,53.9116,-122.776
British Columbia,Port Coquitlam,61498,49.2567,-122.762
British Columbia,North Vancouver,58120,49.3142,-123.067
British Columbia,Langford,46584,48.4566,-123.497
British Columbia,Vernon,44519,50.2642,-119.269
British Columbia,Mission,41519,49.1376,-122.304
British Columbia,Penticton,36885,49.4822,-119.585
British Columbia,Campbell River,35519,50.0167,-125.242
British Columbia,Port Moody,33535,49.2786,-122.868
British Columbia,Langley,28963,49.1038,-122.659
British Columbia,Courtenay,28420,49.6889,-124.999
Yukon,Whitehorse,28201,60.727,-135.074
British Columbia,Squamish,23819,49.3221,-123.13
British Columbia,White Rock,21939,49.0252,-122.796
British Columbia,Fort St. John,21465,56.2461,-120.845
British Columbia,Cranbrook,20499,49.5155,-115.759
Northwest Territories,Yellowknife,20340,62.4536,-114.37
British Columbia,Salmon Arm,19432,50.7,-119.267
British Columbia,Pitt Meadows,19146,49.2172,-122.686
British Columbia,Colwood,18961,48.4321,-123.497
British Columbia,Port Alberni,18259,49.2417,-124.8
British Columbia,Oak Bay,17990,48.4301,-123.309
British Columbia,Esquimalt,17533,48.4289,-123.408
British Columbia,Central Saanich,17385,48.5669,-123.397
British Columbia,Sooke,15086,48.3823,-123.728
British Columbia,Comox,14806,49.6739,-124.928
British Columbia,Whistler,13982,50.1215,-122.962
British Columbia,Powell River,13943,49.872,-124.546
British Columbia,Parksville,13642,49.3227,-124.327
British Columbia,Dawson Creek,12323,55.7595,-120.235
British Columbia,Sidney,12318,48.65,-123.4
British Columbia,Prince Rupert,12300,54.315,-130.315
British Columbia,North Saanich,12235,48.6217,-123.421
British Columbia,Summerland,12042,49.6054,-119.673
British Columbia,Terrace,12017,54.5234,-128.598
British Columbia,View Royal,11575,48.4583,-123.45
British Columbia,Coldstream,11171,50.2292,-119.227
British Columbia,Nelson,11106,49.4975,-117.282
British Columbia,Williams Lake,10947,52.1415,-122.143
British Columbia,Sechelt,10847,49.4794,-123.762
British Columbia,Quesnel,9889,52.9806,-122.504
British Columbia,Qualicum Beach,9303,49.3475,-124.442
British Columbia,Ladysmith,8990,48.9926,-123.82
British Columbia,Castlegar,8338,49.3218,-117.66
British Columbia,Revelstoke,8275,51.0012,-118.196
British Columbia,Kitimat,8236,54.051,-128.651
British Columbia,Kimberley,8115,49.6871,-115.983
British Columbia,Trail,7920,49.1,-117.7
British Columbia,Merritt,7051,50.1114,-120.79
British Columbia,Hope,6686,49.3802,-121.43
British Columbia,Fernie,6320,49.5068,-115.069
British Columbia,Peachland,5789,49.7786,-119.736
British Columbia,Creston,5583,49.1006,-116.507
British Columbia,Osoyoos,5556,49.0311,-119.465
British Columbia,Smithers,5378,54.7825,-127.166
British Columbia,Armstrong,5323,50.4461,-119.199
British Columbia,Spallumcheen,5307,50.5314,-119.147
British Columbia,Oliver,5094,49.1826,-119.553
British Columbia,Metchosin,5067,48.3756,-123.529
British Columbia,Duncan,5047,48.7789,-123.702
British Columbia,Gibsons,4758,49.4018,-123.514
British Columbia,Cumberland,4447,49.622,-125.026
British Columbia,Vanderhoof,4346,54.0175,-124.002
British Columbia,Sparwood,4148,49.7326,-114.892
British Columbia,Rossland,4140,49.0775,-117.801
British Columbia,Grand Forks,4112,49.029,-118.453
British Columbia,Golden,3986,51.2949,-116.964
British Columbia,Invermere,3917,50.5007,-116.038
British Columbia,Kamloops,3915,50.6783,-120.348
British Columbia,Port Hardy,3902,50.7189,-127.507
British Columbia,Lantzville,3817,49.2532,-124.082
British Columbia,Pemberton,3407,50.3167,-122.8
British Columbia,Lake Cowichan,3325,48.8261,-124.052
British Columbia,Mackenzie,3281,55.3353,-123.096
Northwest Territories,Hay River,3169,60.8097,-115.7898
Northwest Territories,Inuvik,3137,68.361,-133.73
British Columbia,Houston,3052,54.397,-126.652
British Columbia,Enderby,3028,50.5549,-119.141
British Columbia,Princeton,2894,49.4524,-120.514
British Columbia,Elkford,2749,50.0123,-114.93
British Columbia,Sicamous,2613,50.835,-118.98
British Columbia,Tofino,2516,49.1505,-125.906
British Columbia,Highlands,2482,48.5144,-123.516
British Columbia,Cowichan,2420,48.7688,-123.68
British Columbia,Tumbler Ridge,2399,55.1333,-121
British Columbia,Chase,2399,50.8221,-119.688
British Columbia,Clearwater,2388,51.65,-120.033
British Columbia,Anmore,2356,49.3115,-122.849
British Columbia,Port McNeill,2356,50.586,-127.079
British Columbia,Chetwynd,2302,55.6949,-121.619
British Columbia,Lillooet,2302,50.6941,-121.939
British Columbia,Tsawwassen,2256,49.0357,-123.094
British Columbia,Logan Lake,2255,50.4913,-120.813
Northwest Territories,Fort Smith,2248,60.0053,-111.8829
British Columbia,Penticton,2080,49.4822,-119.585
British Columbia,Ucluelet,2066,48.9399,-125.528
British Columbia,Lumby,2063,50.25,-118.967
British Columbia,Fruitvale,1958,49.1139,-117.548
British Columbia,Harrison Hot Springs,1905,49.3,-121.783
British Columbia,Barriere,1765,51.1819,-120.133
British Columbia,Warfield,1753,49.0945,-117.749
Northwest Territories,Behchokò,1746,62.8335,-116.0514
