Jurisdiction,Community,Type,Population
British Columbia,Mount Waddington D 5,RDA,371
British Columbia,Priest's Valley 6,IRI,367
British Columbia,Fraser-Fort George G,RDA,365
British Columbia,Alkali Lake 1,IRI,358
Yukon,Ross River,SÉ,355
British Columbia,Coldwater 1,IRI,350
British Columbia,Port Clements,VL,340
British Columbia,Granisle,VL,337
British Columbia,Sayward,VL,334
Northwest Territories,Lutselk'e,SET,333
British Columbia,Langley 2 5,IRI,332
British Columbia,Holachten 8,IRI,330
British Columbia,Kitimat-Stikine F,RDA,326
British Columbia,North Coast E,RDA,325
British Columbia,Stony Creek 1,IRI,323
British Columbia,Nanaimo River,IRI,323
British Columbia,Ittatsoo 1,IRI,321
British Columbia,Shuswap 5,IRI,319
Yukon,Carcross,SÉ,317
Yukon,Pelly Crossing,SÉ,316
British Columbia,Sahhaltkum 4,IRI,316
British Columbia,Kitsumkaylum 1,IRI,315
British Columbia,Quinsam 12,IRI,312
Yukon,Tagish,SÉ,311
British Columbia,Squamish-Lillooet A,RDA,305
Northwest Territories,Paulatuk,HAM,298
British Columbia,East Moberly Lake 169,IRI,297
British Columbia,Kwawkwawapilt 6,IRI,295
British Columbia,Dolphin Island 1,IRI,295
British Columbia,Comox 1,IRI,291
British Columbia,Kitselas 1,IRI,291
British Columbia,Lillooet 1,IRI,285
British Columbia,Quaaout 1,IRI,284
British Columbia,Neskonlith,IRI,279
Northwest Territories,"Region 6, Unorganized",NO,273
British Columbia,Cole Bay 3,IRI,266
Northwest Territories,Hay River Dene 1,IRI,259
British Columbia,Hazelton,VL,257
British Columbia,Alberni-Clayoquot A,RDA,256
British Columbia,Soowahlie 14,IRI,255
British Columbia,Moricetown 1,IRI,253
Northwest Territories,Gamètì,CG,252
British Columbia,Williams Lake 1,IRI,248
British Columbia,Halfway River 168,IRI,247
British Columbia,Quatsino Subdivision 18,IRI,246
British Columbia,Skwah 4,IRI,245
British Columbia,Nanoose,IRI,245
British Columbia,Katzie 1,IRI,244
British Columbia,North Tacla Lake 5,IRI,243
British Columbia,Fort Ware 1,IRI,242
British Columbia,Bridge River 1,IRI,242
British Columbia,Skeetchestn,IRI,242
Yukon,Teslin 3,VL,239
Yukon,Old Crow,SÉ,236
British Columbia,Upper Sumas 6,IRI,232
British Columbia,T'Sou-ke,IRI,230
British Columbia,Thompson-Nicola B (Thompson Headwaters),RDA,230
British Columbia,Finlay River 6 5,IRI,229
British Columbia,Skweahm 10,IRI,228
